Layer,Database,Schema,Table,Column,Data Type,Nullable,Key,Description
Source,bank_source,public,source_campaign,previous,INTEGER,Yes,—,Contacts before this campaign
Source,bank_source,public,source_campaign,poutcome,VARCHAR(50),Yes,—,Outcome of previous campaign
Source,bank_source,public,source_marketing_fact,fact_id,BIGINT,No,PK,Derived from raw_bank.id
Source,bank_source,public,source_marketing_fact,customer_id,BIGINT,No,FK,References source_customer.customer_id
Source,bank_source,public,source_marketing_fact,campaign_id,BIGINT,No,FK,References source_campaign.campaign_id
Source,bank_source,public,source_marketing_fact,emp_var_rate,NUMERIC,Yes,—,Employment variation rate
Source,bank_source,public,source_marketing_fact,cons_price_idx,NUMERIC,Yes,—,Consumer price index
Source,bank_source,public,source_marketing_fact,cons_conf_idx,NUMERIC,Yes,—,Consumer confidence index
Source,bank_source,public,source_marketing_fact,euribor3m,NUMERIC,Yes,—,Euribor 3-month rate
Source,bank_source,public,source_marketing_fact,nr_employed,NUMERIC,Yes,—,Number of employees (quarterly)
Source,bank_source,public,source_marketing_fact,subscribed,INTEGER,No,—,Term deposit subscription result: 1 = yes / 0 = no
Warehouse,bank_dw,dw,dim_customer,customer_id,BIGINT,No,PK,Unique customer identifier
Warehouse,bank_dw,dw,dim_customer,age,INTEGER,Yes,—,Customer age in years
Warehouse,bank_dw,dw,dim_customer,job,VARCHAR(50),Yes,—,Occupation type
Warehouse,bank_dw,dw,dim_customer,marital,VARCHAR(30),Yes,—,Marital status
Warehouse,bank_dw,dw,dim_customer,education,VARCHAR(50),Yes,—,Education level
Warehouse,bank_dw,dw,dim_customer,default_flag,VARCHAR(20),Yes,—,Credit default flag
Warehouse,bank_dw,dw,dim_customer,housing,VARCHAR(20),Yes,—,Housing loan flag
Warehouse,bank_dw,dw,dim_customer,loan,VARCHAR(20),Yes,—,Personal loan flag
Warehouse,bank_dw,dw,dim_campaign,campaign_id,BIGINT,No,PK,Unique campaign contact identifier
Warehouse,bank_dw,dw,dim_campaign,contact,VARCHAR(30),Yes,—,Contact communication channel
Warehouse,bank_dw,dw,dim_campaign,month,VARCHAR(20),Yes,—,Month of last contact
Warehouse,bank_dw,dw,dim_campaign,day_of_week,VARCHAR(20),Yes,—,Day of last contact
Warehouse,bank_dw,dw,dim_campaign,duration,INTEGER,Yes,—,Call duration in seconds
Warehouse,bank_dw,dw,dim_campaign,campaign,INTEGER,Yes,—,Number of contacts in this campaign
Warehouse,bank_dw,dw,dim_campaign,pdays,INTEGER,Yes,—,Days since last contact in previous campaign
Warehouse,bank_dw,dw,dim_campaign,previous,INTEGER,Yes,—,Contacts performed before this campaign
Warehouse,bank_dw,dw,dim_campaign,poutcome,VARCHAR(50),Yes,—,Previous campaign outcome
Warehouse,bank_dw,dw,fact_marketing,fact_id,BIGINT,No,PK,Unique fact record identifier
Warehouse,bank_dw,dw,fact_marketing,customer_id,BIGINT,No,FK → dim_customer,Foreign key to customer dimension
Warehouse,bank_dw,dw,fact_marketing,campaign_id,BIGINT,No,FK → dim_campaign,Foreign key to campaign dimension
Warehouse,bank_dw,dw,fact_marketing,emp_var_rate,NUMERIC,Yes,—,Employment variation rate (quarterly economic indicator)
Warehouse,bank_dw,dw,fact_marketing,cons_price_idx,NUMERIC,Yes,—,Consumer price index (monthly economic indicator)
Warehouse,bank_dw,dw,fact_marketing,cons_conf_idx,NUMERIC,Yes,—,Consumer confidence index (monthly indicator)
Warehouse,bank_dw,dw,fact_marketing,euribor3m,NUMERIC,Yes,—,Euribor 3-month rate (daily market indicator)
Warehouse,bank_dw,dw,fact_marketing,nr_employed,NUMERIC,Yes,—,Number of employees (quarterly in thousands)
Warehouse,bank_dw,dw,fact_marketing,subscribed,INTEGER,No,—,Target measure — 1 = subscribed to term deposit / 0 = did not
